ID	T	d	DEPARTAMENTO	MACROSECTOR	CATEGORIA	ACTIVO	PASIVO	EMPLEOS
3846	0	0	BOGOTA	MANUFACTURA	C	231187	451345	4
3847	0	0	ANTIOQUIA	MANUFACTURA	C	396989	391393	1
3848	0	0	BOGOTA	COMERCIO	C	3804227	5023829	2
3849	2	0	ANTIOQUIA	MANUFACTURA	C	1104313	663478	4
3850	4	0	ANTIOQUIA	MANUFACTURA	C	1758474	1754270	18
3851	3	0	ATLANTICO	SERVICIOS	C	1097475	2129738	0
3852	0	0	BOGOTA	SERVICIOS	C	591696	479359	0
3853	1	1	BOGOTA	COMERCIO	C	320157	10486819	0
3854	3	0	BOGOTA	SERVICIOS	C	2544268	1796440	0
3855	0	0	RISARALDA	CONSTRUCCION	C	5462552601	4157067347	1
3856	0	0	BOGOTA	COMERCIO	C	703992	1461022	1
3857	2	0	TOLIMA	SERVICIOS	C	1909240	1228411	35
3858	0	0	BOGOTA	SERVICIOS	B	50175843	32291963	0
3859	2	1	ATLANTICO	CONSTRUCCION	A	40455558	37666565	0
3860	1	0	VALLE	MANUFACTURA	C	7143413	8495379	5
3861	0	0	CALDAS	HIDROCARBUROS	C	5313235	4561267	15
3862	1	1	CAUCA	MANUFACTURA	C	582462	4373502	1
3863	0	1	ATLANTICO	CONSTRUCCION	C	27385	44872	0
3864	2	0	ANTIOQUIA	TRANSPORTE	C	2675086	2026576	11
3865	1	1	VALLE	SERVICIOS	C	29100	338700	2
3866	0	0	META	COMERCIO	C	6139716	4467493	0
3867	1	0	ANTIOQUIA	COMERCIO	B	24120502	16075496	95
3868	1	0	BOGOTA	COMERCIO	B	16955371	11535087	14
3869	6	0	VALLE	COMERCIO	C	227673	846053	0
3870	1	0	SANTANDER	CONSTRUCCION	C	23566	1403032	1
3871	1	1	BOGOTA	SERVICIOS	C	6000	885464	1
3872	2	0	BOGOTA	COMERCIO	C	6795403	4663764	448
3873	1	0	BOGOTA	MANUFACTURA	C	3467152	2508233	49
3874	2	1	VALLE	CONSTRUCCION	C	15631877	7667941	4
3875	3	1	CORDOBA	CONSTRUCCION	C	14538012	13419856	0
3876	1	0	BOGOTA	COMERCIO	C	1268282	886255	5
3877	1	0	ANTIOQUIA	COMERCIO	C	5156066	3233135	39
3878	3	0	ANTIOQUIA	SERVICIOS	C	6653510	5240585	12
